Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;11 Cádiz;1 de enero de 2005;1.160.689,266720
Ambos sexos;Total;11 Cádiz;1 de enero de 2004;1.144.129,474054
Ambos sexos;Total;11 Cádiz;1 de enero de 2003;1.130.548,873260
Ambos sexos;Total;39 Cantabria;1 de enero de 2022;584.367,923762
Ambos sexos;Total;39 Cantabria;1 de enero de 2021;583.654,522196
Ambos sexos;Total;39 Cantabria;1 de enero de 2020;582.387,694396
Ambos sexos;Total;39 Cantabria;1 de enero de 2019;581.641,349742
Ambos sexos;Total;39 Cantabria;1 de enero de 2018;581.293,769147
Ambos sexos;Total;39 Cantabria;1 de enero de 2017;581.476,367053
Ambos sexos;Total;39 Cantabria;1 de enero de 2016;582.503,979690
Ambos sexos;Total;39 Cantabria;1 de enero de 2015;585.358,622913
Ambos sexos;Total;39 Cantabria;1 de enero de 2014;587.681,891852
Ambos sexos;Total;39 Cantabria;1 de enero de 2013;590.037,139546
Ambos sexos;Total;39 Cantabria;1 de enero de 2012;592.386,943073
Ambos sexos;Total;39 Cantabria;1 de enero de 2011;590.874,099283
Ambos sexos;Total;39 Cantabria;1 de enero de 2010;588.518,178067
Ambos sexos;Total;39 Cantabria;1 de enero de 2009;584.654,948881
Ambos sexos;Total;39 Cantabria;1 de enero de 2008;577.266,148733
Ambos sexos;Total;39 Cantabria;1 de enero de 2007;568.190,107709
Ambos sexos;Total;39 Cantabria;1 de enero de 2006;561.041,836850
Ambos sexos;Total;39 Cantabria;1 de enero de 2005;554.690,415763
Ambos sexos;Total;39 Cantabria;1 de enero de 2004;548.009,174960
Ambos sexos;Total;39 Cantabria;1 de enero de 2003;541.645,464383
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2022;578.632,663997
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2021;576.965,211767
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2020;574.935,599837
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2019;571.600,518700
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2018;569.576,196258
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2017;570.170,447396
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2016;571.223,314170
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2015;574.459,790522
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2014;578.212,741355
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2013;585.729,123750
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2012;593.924,362306
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2011;595.573,587393
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2010;595.852,854439
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2009;594.737,143344
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2008;588.015,280505
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2007;567.547,511899
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2006;548.374,986694
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2005;533.624,939128
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2004;518.181,996359
Ambos sexos;Total;12 Castellón/Castelló;1 de enero de 2003;504.094,049869
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2022;489.913,090977
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2021;491.991,220709
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2020;494.178,393038
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2019;495.106,119438
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2018;498.548,610152
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2017;504.116,880858
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2016;508.409,411124
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2015;514.143,287829
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2014;518.051,434891
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2013;522.748,857767
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2012;526.281,067442
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2011;526.165,994373
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2010;525.459,272459
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2009;523.963,950069
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2008;519.758,954915
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2007;509.227,653179
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2006;500.915,665786
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2005;494.021,307435
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2004;488.058,036712
Ambos sexos;Total;13 Ciudad Real;1 de enero de 2003;483.314,586696
Ambos sexos;Total;14 Córdoba;1 de enero de 2022;777.677,077833
Ambos sexos;Total;14 Córdoba;1 de enero de 2021;781.186,490507
Ambos sexos;Total;14 Córdoba;1 de enero de 2020;784.292,099491
Ambos sexos;Total;14 Córdoba;1 de enero de 2019;783.866,651242
Ambos sexos;Total;14 Córdoba;1 de enero de 2018;786.524,279918
Ambos sexos;Total;14 Córdoba;1 de enero de 2017;789.980,800210
Ambos sexos;Total;14 Córdoba;1 de enero de 2016;792.412,116064
Ambos sexos;Total;14 Córdoba;1 de enero de 2015;795.703,290617
Ambos sexos;Total;14 Córdoba;1 de enero de 2014;797.769,347814
Ambos sexos;Total;14 Córdoba;1 de enero de 2013;800.413,814266
Ambos sexos;Total;14 Córdoba;1 de enero de 2012;802.716,650974
Ambos sexos;Total;14 Córdoba;1 de enero de 2011;801.791,930108
Ambos sexos;Total;14 Córdoba;1 de enero de 2010;799.756,802595
Ambos sexos;Total;14 Córdoba;1 de enero de 2009;797.328,351873
Ambos sexos;Total;14 Córdoba;1 de enero de 2008;792.681,211156
Ambos sexos;Total;14 Córdoba;1 de enero de 2007;786.384,236408
Ambos sexos;Total;14 Córdoba;1 de enero de 2006;780.679,396095
Ambos sexos;Total;14 Córdoba;1 de enero de 2005;775.834,525159
Ambos sexos;Total;14 Córdoba;1 de enero de 2004;770.517,008902
Ambos sexos;Total;14 Córdoba;1 de enero de 2003;766.005,435406
Ambos sexos;Total;15 Coruña, A;1 de enero de 2022;1.120.121,323057
Ambos sexos;Total;15 Coruña, A;1 de enero de 2021;1.121.757,430185
Ambos sexos;Total;15 Coruña, A;1 de enero de 2020;1.123.549,964382
Ambos sexos;Total;15 Coruña, A;1 de enero de 2019;1.122.006,539467
Ambos sexos;Total;15 Coruña, A;1 de enero de 2018;1.121.417,448451
Ambos sexos;Total;15 Coruña, A;1 de enero de 2017;1.121.745,967379
Ambos sexos;Total;15 Coruña, A;1 de enero de 2016;1.124.114,402505
Ambos sexos;Total;15 Coruña, A;1 de enero de 2015;1.128.694,119316
Ambos sexos;Total;15 Coruña, A;1 de enero de 2014;1.133.329,718263
Ambos sexos;Total;15 Coruña, A;1 de enero de 2013;1.138.494,141013
Ambos sexos;Total;15 Coruña, A;1 de enero de 2012;1.141.178,230610
Ambos sexos;Total;15 Coruña, A;1 de enero de 2011;1.140.068,696791
